city,population,lat,lon,region_name,region_name_ao,region_iso_code,federal_district,okato,oktmo,kladr_id,fias_id
Ковров,135.7,56.3554349,41.3170576,Владимирская область,,RU-VLA,Центральный,17425000000,17725000001,3300000400000,0b4978e2-e64c-4db1-b84d-93cf34bdb04b
Кольчугино,42.0,56.3327254,39.391336,Владимирская область,,RU-VLA,Центральный,17240501000,17640101001,3300900100000,8f9faad4-ff93-471d-b0c0-c8e5c0162dee
Костерево,8.1,55.9337222,39.6247398,Владимирская область,,RU-VLA,Центральный,17246510000,17646110001,3301200200000,50b6831d-52f4-4905-93d7-8e42812cd947
Курлово,5.8,55.452698,40.6124108,Владимирская область,,RU-VLA,Центральный,17220515000,17620115001,3300500200000,4f68f8c7-bf54-48a6-8165-0313d75a83c2
Лакинск,14.1,56.0180587,39.956551,Владимирская область,,RU-VLA,Центральный,17250503000,17650110001,3301400200000,67eb946d-db25-4ad2-9852-6436ed35b39e
Меленки,13.5,55.3387515,41.6340046,Владимирская область,,RU-VLA,Центральный,17242501000,17642101001,3301000100000,710f2d29-5c22-4d4d-be27-04713381c676
Муром,107.0,55.5630311,42.0231362,Владимирская область,,RU-VLA,Центральный,17435000000,17735000001,3300000500000,0d7d5d87-f0a6-428f-b655-d3be106c64a2
Петушки,12.5,55.9298134,39.4508075,Владимирская область,,RU-VLA,Центральный,17246501000,17646101001,3301200100000,b7ba6bfc-4b0c-4b05-88bd-267d50b36850
Покров,16.7,55.9166398,39.1734526,Владимирская область,,RU-VLA,Центральный,17246520000,17646120001,3301200300000,f1c2252b-c3da-43f4-86ea-5f05812e99d5
Радужный,18.3,55.9960277,40.3321855,Владимирская область,,RU-VLA,Центральный,17537000000,17737000001,3300000200000,c0ac6992-e48e-4648-b176-f56e7bcda57b
Собинка,17.3,55.9939169,40.0179653,Владимирская область,,RU-VLA,Центральный,17250501000,17650101001,3301400100000,d33946c4-bda9-43a5-b5c4-1157ae28149a
Струнино,12.9,56.3749967,38.5839667,Владимирская область,,RU-VLA,Центральный,17205508000,17605108001,3300200300000,9f490940-079f-4bf9-9931-48952c1bea4f
Судогда,10.1,55.9498056,40.8562939,Владимирская область,,RU-VLA,Центральный,17252501000,17652101001,3301500100000,469a6b26-cb42-4db7-8fe7-758b946956c4
Суздаль,9.6,56.4274441,40.4525692,Владимирская область,,RU-VLA,Центральный,17254501000,17654101001,3301600100000,f347f78e-f991-4b0b-bfbd-600ac927b009
Юрьев-Польский,18.1,56.4937757,39.6680539,Владимирская область,,RU-VLA,Центральный,17256501000,17656101001,3301700100000,4859c31b-fba4-460a-9543-befc791da8a9
Волгоград,1009.0,48.7070042,44.5170339,Волгоградская область,,RU-VGG,Южный,18401000000,18701000001,3400000100000,a52b7389-0cfe-46fb-ae15-298652a64cf8
Волжский,323.9,48.7978209,44.7462538,Волгоградская область,,RU-VGG,Южный,18410000000,18710000001,3400000200000,bc5ed788-84c8-493e-9598-7a15a9f1e4c1
Дубовка,13.7,49.0554742,44.8270085,Волгоградская область,,RU-VGG,Южный,18208501000,18608101001,3400600100000,66a2c07f-45b1-47d2-ab51-fa16288d07a6
Жирновск,15.5,50.9768814,44.7858202,Волгоградская область,,RU-VGG,Южный,18212501000,18612101001,3400800100000,1f9bda6f-45a5-4bf5-b1d8-434d763ea834
Калач-на-Дону,23.6,48.6889024,43.5306303,Волгоградская область,,RU-VGG,Южный,18216501000,18616101001,3401000100000,acc6220a-f624-4880-84d8-670319b0e25d
Камышин,109.9,50.0651529,45.3844202,Волгоградская область,,RU-VGG,Южный,18415000000,18715000001,3400000300000,0f9fb687-8d03-41a2-968f-033a2ba44f2f
Котельниково,20.4,47.6310259,43.1330872,Волгоградская область,,RU-VGG,Южный,18224501000,18624101001,3401400100000,ec52e094-acd0-49ab-bc84-9ce0aa80c7c0
Котово,21.4,50.3205766,44.8030699,Волгоградская область,,RU-VGG,Южный,18226501000,18626101001,3401500100000,6a9dded3-afcf-46ba-9881-5048c3bec5a3
Краснослободск,17.1,48.7068721,44.5630857,Волгоградская область,,RU-VGG,Южный,18251507000,18651107001,3402800200000,68e32d89-51bb-4030-b697-ceca53b9e740
Ленинск,14.4,48.6936061,45.1992692,Волгоградская область,,RU-VGG,Южный,18230501000,18630101001,3401700100000,bee1ee84-fdcf-45b2-8c87-7b015efc4332
Михайловка,57.4,50.0708719,43.2401512,Волгоградская область,,RU-VGG,Южный,18420000000,18720000001,3400000400000,f02dbf6d-57ad-49bc-8011-603bf7126bb5
Николаевск,13.4,50.0165306,45.4731658,Волгоградская область,,RU-VGG,Южный,18236501000,18636101001,3402000100000,8680a7a3-5c93-4c0d-ae64-d828306b2310
Новоаннинский,15.9,50.5296067,42.6666439,Волгоградская область,,RU-VGG,Южный,18238501000,18638101001,3402100100000,254f7c3a-fc21-4405-8779-eee0a7a5c63f
Палласовка,14.5,50.0500944,46.8804277,Волгоградская область,,RU-VGG,Южный,18245501000,18645101,3402400100000,e6891ad3-e99a-48fa-93e5-805da20e849c
Петров Вал,12.4,50.1380557,45.20914,Волгоградская область,,RU-VGG,Южный,18218503000,18618103001,3401100200000,02324444-36d6-4af8-a9af-15b77576adea
Серафимович,8.6,49.5663183,42.7360402,Волгоградская область,,RU-VGG,Южный,18250501000,18650101001,3402700100000,fb921dd7-0b8e-42a6-a5bb-3d1387f090d0
Суровикино,18.2,48.618917,42.8541163,Волгоградская область,,RU-VGG,Южный,18253501000,18653101001,3403000100000,b5bab4ba-e94f-4178-b6f7-67e01c89bec2
Урюпинск,36.7,50.7903789,42.0288513,Волгоградская область,,RU-VGG,Южный,18425000000,18725000001,3400000500000,2e5879fc-35c2-4354-816b-f1fce74ece87
Фролово,36.2,49.7649148,43.6648641,Волгоградская область,,RU-VGG,Южный,18428000000,18728000001,3400000600000,57e3991f-e685-4ba2-9cef-9988e6fa5862
Бабаево,11.4,59.3892583,35.9377058,Вологодская область,,RU-VLG,Северо-Западный,19205501000,19605101001,3500200100000,e61e9415-3cdc-4e44-9cdf-a98662bab04f
Белозерск,8.6,60.0308381,37.7890586,Вологодская область,,RU-VLG,Северо-Западный,19210501000,19610101001,3500400100000,9444e5a5-b164-42b8-b4ff-e3b4c157fc54
Великий Устюг,31.0,60.7603913,46.3054414,Вологодская область,,RU-VLG,Северо-Западный,19410000000,19614101001,3500600100000,9db452cb-452a-4373-9610-a265b3b55653
Вологда,310.3,59.2483905,39.8355662,Вологодская область,,RU-VLG,Северо-Западный,19401000000,19701000001,3500000100000,023484a5-f98d-4849-82e1-b7e0444b54ef
Вытегра,10.2,61.0063465,36.4495137,Вологодская область,,RU-VLG,Северо-Западный,19222501000,19622101001,3500900100000,f66fbc22-445e-42ab-8f53-3de507d877c9
Грязовец,14.8,58.8757553,40.2485362,Вологодская область,,RU-VLG,Северо-Западный,19224501000,19624101001,3501000100000,aeee36bc-969a-4cc6-9fb3-5e237e776068
Кадников,4.5,59.5037764,40.3441148,Вологодская область,,RU-VLG,Северо-Западный,19238504000,19638104001,3501700200000,eb52b8bf-131d-4250-9a09-c0d41a7d42ee
Кириллов,7.5,59.8591523,38.3748782,Вологодская область,,RU-VLG,Северо-Западный,19228501000,19628101001,3501200100000,bfe722ba-8bfd-4dbd-acc5-73da667a0f95
Красавино,5.9,60.9612823,46.4814116,Вологодская область,,RU-VLG,Северо-Западный,19410501000,19614105001,3500600200000,78a546b6-196d-407f-a082-e7e85ff4acad
Никольск,7.9,59.5351837,45.4576137,Вологодская область,,RU-VLG,Северо-Западный,19234501000,19634101001,3501500100000,9b602724-8b73-4979-ae01-3ba8a22c93f2
Сокол,36.4,59.4758605,40.1114187,Вологодская область,,RU-VLG,Северо-Западный,19420000000,19638101001,3501700100000,500b9e8f-79cc-4c35-b497-110f550d6615
Тотьма,9.7,59.9734998,42.7589506,Вологодская область,,RU-VLG,Северо-Западный,19246501000,19646101001,3502000100000,3a0d6df8-c23f-4435-83bb-9f97dd2e3343
Устюжна,8.4,58.8383117,36.4425478,Вологодская область,,RU-VLG,Северо-Западный,19250501000,19650101001,3502200100000,3c2ceeea-04a9-4171-b4dd-341620290258
Харовск,8.8,59.9479423,40.2000298,Вологодская область,,RU-VLG,Северо-Западный,19252501000,19652101001,3502300100000,e5e0513c-fc84-4373-b3ee-05f8382f8110
Череповец,314.8,59.1269212,37.9090497,Вологодская область,,RU-VLG,Северо-Западный,19430000000,19730000001,3500000200000,b4c30848-5181-44b4-88fa-456e1c4aeb0f
