,city,geo_lat,geo_lon,region,region_iso_code,federal_district,capital_marker,okato,oktmo,kladr_id,fias_id,unparsed_parts,query_city,query_region
88,Струнино,56.3749967,38.5839667,Владимирская,RU-VLA,Центральный,0,17205508000,17605108001,3300200300000,9f490940-079f-4bf9-9931-48952c1bea4f,,Струнино,Владимирская область
89,Судогда,55.9498056,40.8562939,Владимирская,RU-VLA,Центральный,1,17252501000,17652101001,3301500100000,469a6b26-cb42-4db7-8fe7-758b946956c4,,Судогда,Владимирская область
90,Суздаль,56.4274441,40.4525692,Владимирская,RU-VLA,Центральный,1,17254501000,17654101001,3301600100000,f347f78e-f991-4b0b-bfbd-600ac927b009,,Суздаль,Владимирская область
91,Юрьев-Польский,56.4937757,39.6680539,Владимирская,RU-VLA,Центральный,1,17256501000,17656101001,3301700100000,4859c31b-fba4-460a-9543-befc791da8a9,,Юрьев-Польский,Владимирская область
92,Волгоград,48.7070042,44.5170339,Волгоградская,RU-VGG,Южный,2,18401000000,18701000001,3400000100000,a52b7389-0cfe-46fb-ae15-298652a64cf8,,Волгоград,Волгоградская область
93,Волжский,48.7978209,44.7462538,Волгоградская,RU-VGG,Южный,0,18410000000,18710000001,3400000200000,bc5ed788-84c8-493e-9598-7a15a9f1e4c1,,Волжский,Волгоградская область
94,Дубовка,49.0554742,44.8270085,Волгоградская,RU-VGG,Южный,1,18208501000,18608101001,3400600100000,66a2c07f-45b1-47d2-ab51-fa16288d07a6,,Дубовка,Волгоградская область
95,Жирновск,50.9768814,44.7858202,Волгоградская,RU-VGG,Южный,1,18212501000,18612101001,3400800100000,1f9bda6f-45a5-4bf5-b1d8-434d763ea834,,Жирновск,Волгоградская область
96,Калач-на-Дону,48.6889024,43.5306303,Волгоградская,RU-VGG,Южный,1,18216501000,18616101001,3401000100000,acc6220a-f624-4880-84d8-670319b0e25d,,Калач-на-Дону,Волгоградская область
97,Камышин,50.0651529,45.3844202,Волгоградская,RU-VGG,Южный,0,18415000000,18715000001,3400000300000,0f9fb687-8d03-41a2-968f-033a2ba44f2f,,Камышин,Волгоградская область
98,Котельниково,47.6310259,43.1330872,Волгоградская,RU-VGG,Южный,1,18224501000,18624101001,3401400100000,ec52e094-acd0-49ab-bc84-9ce0aa80c7c0,,Котельниково,Волгоградская область
99,Котово,50.3205766,44.8030699,Волгоградская,RU-VGG,Южный,1,18226501000,18626101001,3401500100000,6a9dded3-afcf-46ba-9881-5048c3bec5a3,,Котово,Волгоградская область
100,Краснослободск,48.7068721,44.5630857,Волгоградская,RU-VGG,Южный,0,18251507000,18651107001,3402800200000,68e32d89-51bb-4030-b697-ceca53b9e740,,Краснослободск,Волгоградская область
101,Ленинск,48.6936061,45.1992692,Волгоградская,RU-VGG,Южный,1,18230501000,18630101001,3401700100000,bee1ee84-fdcf-45b2-8c87-7b015efc4332,,Ленинск,Волгоградская область
102,Михайловка,50.0708719,43.2401512,Волгоградская,RU-VGG,Южный,0,18420000000,18720000001,3400000400000,f02dbf6d-57ad-49bc-8011-603bf7126bb5,,Михайловка,Волгоградская область
103,Николаевск,50.0165306,45.4731658,Волгоградская,RU-VGG,Южный,1,18236501000,18636101001,3402000100000,8680a7a3-5c93-4c0d-ae64-d828306b2310,,Николаевск,Волгоградская область
104,Новоаннинский,50.5296067,42.6666439,Волгоградская,RU-VGG,Южный,1,18238501000,18638101001,3402100100000,254f7c3a-fc21-4405-8779-eee0a7a5c63f,,Новоаннинский,Волгоградская область
105,Палласовка,50.0500944,46.8804277,Волгоградская,RU-VGG,Южный,1,18245501000,18645101,3402400100000,e6891ad3-e99a-48fa-93e5-805da20e849c,,Палласовка,Волгоградская область
106,Петров Вал,50.1380557,45.20914,Волгоградская,RU-VGG,Южный,0,18218503000,18618103001,3401100200000,02324444-36d6-4af8-a9af-15b77576adea,,Петров Вал,Волгоградская область
107,Серафимович,49.5663183,42.7360402,Волгоградская,RU-VGG,Южный,1,18250501000,18650101001,3402700100000,fb921dd7-0b8e-42a6-a5bb-3d1387f090d0,,Серафимович,Волгоградская область
108,Суровикино,48.618917,42.8541163,Волгоградская,RU-VGG,Южный,1,18253501000,18653101001,3403000100000,b5bab4ba-e94f-4178-b6f7-67e01c89bec2,,Суровикино,Волгоградская область
109,Урюпинск,50.7903789,42.0288513,Волгоградская,RU-VGG,Южный,0,18425000000,18725000001,3400000500000,2e5879fc-35c2-4354-816b-f1fce74ece87,,Урюпинск,Волгоградская область
110,Фролово,49.7649148,43.6648641,Волгоградская,RU-VGG,Южный,0,18428000000,18728000001,3400000600000,57e3991f-e685-4ba2-9cef-9988e6fa5862,,Фролово,Волгоградская область
111,Бабаево,59.3892583,35.9377058,Вологодская,RU-VLG,Северо-Западный,1,19205501000,19605101001,3500200100000,e61e9415-3cdc-4e44-9cdf-a98662bab04f,,Бабаево,Вологодская область
