,city,region_name,lat_x,lon_x,lat_y,lon_y,distance_km
878,Верхний Тагил,Свердловская область,57.3763758,59.9517653,57.3748048,59.9320354,1.1956079353454567
194,Нальчик,Кабардино-Балкарская Республика,43.4845464,43.60713,43.4769604,43.5966578,1.19392200559487
691,Кемь,Республика Карелия,64.9543539,34.5949263,64.9550895,34.5697446,1.1881876054877447
663,Уфа,Республика Башкортостан,54.734944,55.9578468,54.7261409,55.947499,1.1830420141436908
886,Заречный,Свердловская область,56.8102931,61.3380029,56.8149706,61.3205936,1.1803958426347798
408,Усмань,Липецкая область,52.0442648,39.726401,52.0506929,39.7399996,1.1729059064671443
595,Гремячинск,Пермский край,58.5626082,57.8520572,58.566597,57.833389,1.1699440991279557
352,Курган,Курганская область,55.4443883,65.3161963,55.45435,65.321877,1.1641792561866138
149,Сретенск,Забайкальский край,52.2461454,117.7117842,52.243191,117.695541,1.1536584789306352
888,Ирбит,Свердловская область,57.6838362,63.057675,57.674042,63.063778,1.1479164411223848
10,Славгород,Алтайский край,52.999463,78.6459232,52.9892428,78.646251,1.1366461340471117
242,Таруса,Калужская область,54.7236477,37.1671,54.7293536,37.1815538,1.1242574579523588
406,Лебедянь,Липецкая область,53.0156117,39.143536,53.0126146,39.127593,1.1173923036015077
23,Вельск,Архангельская область,61.066,42.1032789,61.0756446,42.0979582,1.109960507670779
604,Нытва,Пермский край,57.9336725,55.3356084,57.943423,55.3316349,1.1092839193961197
720,Керчь,Республика Крым,45.3562627,36.4674513,45.3534002,36.4538645,1.1083366331464428
779,Нижнекамск,Республика Татарстан,55.6313609,51.8144669,55.6412879,51.8160376,1.1082254434857888
1045,Барыш,Ульяновская область,53.6533992,47.1181134,53.6540758,47.1013737,1.105728764245514
685,Назрань,Республика Ингушетия,43.2257841,44.7645779,43.2320774,44.7540128,1.1056177157751512
1040,Глазов,Удмуртская Республика,58.1359233,52.6635038,58.1401196,52.6464388,1.1050130591618466
539,Холм,Новгородская область,57.145108,31.1787499,57.15407425,31.17085196949452,1.1049672049433485
476,Фрязино,Московская область,55.9590588,38.0410235,55.954618,38.0567691,1.0975052680906014
934,Ярцево,Смоленская область,55.0564732,32.6902302,55.0662279,32.6883609,1.091185685791414
794,Аксай,Ростовская область,47.2676314,39.8756872,47.268696,39.861362,1.0873468031592202
174,Бодайбо,Иркутская область,57.8468636,114.1866287,57.8499525,114.2039967,1.0836029405000753
610,Усолье,Пермский край,59.4277573,56.6837872,59.4180251,56.6830803,1.0829097318181946
243,Юхнов,Калужская область,54.7446445,35.2424346,54.7415766,35.2264393,1.0818737371872835
254,Гурьевск,Кемеровская область - Кузбасс,54.2859263,85.9475985,54.284954,85.931091,1.076938587440039
712,Ухта,Республика Коми,63.5565514,53.7014239,63.5624585,53.684243,1.0747320151277928
250,Черкесск,Карачаево-Черкесская Республика,44.2269425,42.0466704,44.22552875,42.05987514558208,1.0638502355776522
342,Лесосибирск,Красноярский край,58.221681,92.5037872,58.223511,92.48597,1.0629897098582948
185,Тайшет,Иркутская область,55.9405334,98.0030145,55.9385304,98.0196711,1.060958727342388
52,Шебекино,Белгородская область,50.4004883,36.8877889,50.409153,36.894012,1.059617971163236
102,Михайловка,Волгоградская область,50.0708719,43.2401512,50.0796329,43.2343877,1.0574457142676688
532,Валдай,Новгородская область,57.9823766,33.2369436,57.9791414,33.2537994,1.0568591973764272
899,Михайловск,Свердловская область,56.4370039,59.1137316,56.444538,59.124191,1.0560212425695585
584,Кузнецк,Пензенская область,53.1130888,46.605092,53.11946635,46.59347676165702,1.050620549327441
1114,Тутаев,Ярославская область,57.8674993,39.5369627,57.875385,39.527214,1.0493875651453484
804,Красный Сулин,Ростовская область,47.8831311,40.0781298,47.891552,40.071899,1.0452907262642703
867,Северо-Курильск,Сахалинская область,50.6730577,156.1282211,50.6683048,156.1154399,1.0443268998196062
22,Архангельск,Архангельская область,64.5394289,40.5169606,64.543022,40.537121,1.0431782652177766
1012,Заводоуковск,Тюменская область,56.5027463,66.5513613,56.509293,66.539261,1.0398292974188101
457,Одинцово,Московская область,55.6789455,37.263686,55.6711507,37.2727963,1.038047407039835
437,Клин,Московская область,56.3425605,36.7240032,56.3355601,36.7351318,1.0374783158331478
1112,Ростов,Ярославская область,57.2051315,39.4378622,57.2012699,39.422192111506064,1.0368952666128493
734,Инсар,Республика Мордовия,53.8770022,44.3696566,53.867741,44.371407,1.0361724908522918
291,Галич,Костромская область,58.3828191,42.3654013,58.381382,42.347916,1.0317409115570242
272,Вятские Поляны,Кировская область,56.2284817,51.0614855,56.2229946,51.0749038,1.0296967226672196
678,Кизляр,Республика Дагестан,43.8484083,46.7233699,43.8546727,46.7139329,1.0285128421980194
403,Данков,Липецкая область,53.2577411,39.1456184,53.2533095,39.1591798,1.0279428483195894
823,Сасово,Рязанская область,54.3508885,41.9117422,54.35392,41.926643,1.0227794961228316
429,Дубна,Московская область,56.741786,37.1757223,56.7362705,37.1623696,1.0194334204876851
938,Ессентуки,Ставропольский край,44.0446186,42.8588653,44.03756695,42.850761419668814,1.0170604761737085
593,Верещагино,Пермский край,58.0797571,54.6581309,58.0721045,54.6674847,1.0132023901823966
410,Магадан,Магаданская область,59.5681332,150.8084956,59.5604768,150.7988617,1.0095944812804636
49,Новый Оскол,Белгородская область,50.7633747,37.8775484,50.764427,37.863338,1.006282347419666
1115,Углич,Ярославская область,57.5224249,38.3020044,57.526783,38.316689,1.001752739196093
224,Боровск,Калужская область,55.2130096,36.4926251,55.2067186,36.4813883,0.9987929288769312
796,Белая Калитва,Ростовская область,48.1769737,40.8033529,48.1751778,40.7902124,0.9946164507080558
896,Красноуфимск,Свердловская область,56.612387,57.7636637,56.604538,57.771313,0.9903818826007169
873,Арамиль,Свердловская область,56.694632,60.8343125,56.6954649,60.8504536,0.9898625627697477
316,Новокубанск,Краснодарский край,45.1038699,41.0475175,45.1083184,41.0366896,0.98326601683125
1105,Певек,Чукотский автономный округ,69.7016661,170.2999022,69.7028171,170.2746851,0.98109316437562
620,Дальнегорск,Приморский край,44.5539457,135.5662716,44.559457,135.5759241,0.9800345191051906
72,Гороховец,Владимирская область,56.2021036,42.6926111,56.20657,42.679035,0.9755632397152222
73,Гусь-Хрустальный,Владимирская область,55.6198751,40.6579929,55.6149968,40.6708665,0.9735091394784058
877,Богданович,Свердловская область,56.7764795,62.0463679,56.7683407,62.0520774,0.9695552398196442
1095,Канаш,Чувашская Республика,55.507,47.4918273,55.5148161,47.49863071889008,0.9689452569442399
1086,Южноуральск,Челябинская область,54.448927,61.2581158,54.4425364,61.2682731,0.9676067954013802
652,Дюртюли,Республика Башкортостан,55.4848318,54.8524765,55.490616,54.863895,0.964975507893805
645,Агидель,Республика Башкортостан,55.8999056,53.9220144,55.899276,53.9374202,0.9629591824745298
